source,target
153.0,5044.0
153.0,12686.0
153.0,34544.0
153.0,42649.0
153.0,46232.0
216.0,41885.0
216.0,49470.0
249.0,20346.0
249.0,28524.0
249.0,28622.0
249.0,41580.0
335.0,9685.0
335.0,30363.0
336.0,16766.0
336.0,44995.0
351.0,58.0
351.0,31956.0
351.0,34697.0
351.0,45027.0
727.0,18397.0
727.0,40508.0
727.0,45767.0
811.0,5892.0
811.0,22272.0
811.0,23690.0
811.0,48591.0
843.0,22331.0
843.0,24142.0
843.0,35373.0
843.0,45479.0
858.0,10217.0
858.0,16866.0
887.0,29173.0
887.0,41462.0
1833.0,5515.0
1833.0,32933.0
1902.0,19715.0
1902.0,43846.0
2097.0,24798.0
2097.0,28558.0
2175.0,6779.0
2175.0,10905.0
2175.0,12138.0
2175.0,12582.0
2175.0,16863.0
2467.0,2837.0
2467.0,26219.0
2467.0,33257.0
2523.0,9044.0
2523.0,11542.0
2523.0,17423.0
2523.0,18421.0
2523.0,25380.0
2523.0,28376.0
2523.0,38738.0
2523.0,39838.0
2676.0,12052.0
2676.0,27200.0
2708.0,22856.0
2760.0,3517.0
2760.0,5002.0
2760.0,9685.0
2760.0,12707.0
2760.0,19516.0
2760.0,19584.0
2760.0,25930.0
2760.0,26773.0
2760.0,30363.0
2760.0,34317.0
2760.0,35540.0
2760.0,47492.0
2760.0,47812.0
3220.0,3860.0
3220.0,11215.0
3597.0,21728.0
3597.0,37028.0
4176.0,35082.0
4176.0,48374.0
4480.0,8859.0
4480.0,17745.0
4480.0,19715.0
4480.0,25380.0
4480.0,28709.0
4480.0,29271.0
4480.0,35082.0
4570.0,17355.0
4570.0,29271.0
5002.0,5892.0
5002.0,18835.0
5002.0,22272.0
5002.0,30363.0
5002.0,47492.0
5397.0,35082.0
5647.0,11991.0
5647.0,16984.0
5647.0,33089.0
5647.0,33514.0
5653.0,6779.0
5653.0,16266.0
5653.0,18275.0
5719.0,7300.0
5719.0,18467.0
5729.0,12138.0
5729.0,32412.0
5729.0,34189.0
5772.0,4290.0
5772.0,19699.0
5892.0,811.0
5892.0,2760.0
5892.0,5002.0
5892.0,12775.0
5892.0,18447.0
5892.0,22272.0
5892.0,34317.0
5892.0,48591.0
6194.0,2679.0
6194.0,5271.0
6194.0,9225.0
6194.0,10345.0
6194.0,32782.0
6194.0,38876.0
6194.0,42656.0
6194.0,42918.0
6194.0,44899.0
6194.0,45933.0
6235.0,8142.0
6235.0,13852.0
6245.0,4554.0
6245.0,6612.0
6245.0,32412.0
6257.0,31863.0
6257.0,41885.0
6534.0,20397.0
6534.0,24535.0
6534.0,33700.0
6534.0,43964.0
6534.0,46330.0
6612.0,6245.0
6612.0,26777.0
6675.0,11215.0
6675.0,27851.0
6776.0,16192.0
6776.0,29165.0
6776.0,35633.0
6776.0,44940.0
6779.0,2175.0
6779.0,5653.0
6779.0,10905.0
6808.0,12495.0
6808.0,18026.0
6838.0,11389.0
6838.0,34544.0
6838.0,51019.0
7032.0,8142.0
7032.0,15736.0
