,ori_node,des_node,ori_layer,des_layer
0,2097.0,43789.0,1.0,1.0
1,2097.0,46521.0,1.0,1.0
2,2676.0,14575.0,1.0,1.0
3,13745.0,2676.0,1.0,1.0
4,13745.0,35082.0,1.0,1.0
5,13745.0,35743.0,1.0,1.0
6,35082.0,13745.0,1.0,1.0
7,35082.0,25717.0,1.0,1.0
8,35082.0,35743.0,1.0,1.0
9,35082.0,36665.0,1.0,1.0
10,35082.0,42918.0,1.0,1.0
11,41825.0,27197.0,1.0,1.0
12,41825.0,131381.0,1.0,1.0
13,42918.0,35082.0,1.0,1.0
14,42918.0,36665.0,1.0,1.0
15,153.0,5044.0,2.0,2.0
16,153.0,12686.0,2.0,2.0
17,153.0,34544.0,2.0,2.0
18,153.0,42649.0,2.0,2.0
19,153.0,46232.0,2.0,2.0
20,216.0,41885.0,2.0,2.0
21,216.0,49470.0,2.0,2.0
22,249.0,20346.0,2.0,2.0
23,249.0,28524.0,2.0,2.0
24,249.0,28622.0,2.0,2.0
25,249.0,41580.0,2.0,2.0
26,335.0,9685.0,2.0,2.0
27,335.0,30363.0,2.0,2.0
28,336.0,16766.0,2.0,2.0
29,336.0,44995.0,2.0,2.0
30,351.0,58.0,2.0,2.0
31,351.0,31956.0,2.0,2.0
32,351.0,34697.0,2.0,2.0
33,351.0,45027.0,2.0,2.0
34,727.0,18397.0,2.0,2.0
35,727.0,40508.0,2.0,2.0
36,727.0,45767.0,2.0,2.0
37,811.0,5892.0,2.0,2.0
38,811.0,22272.0,2.0,2.0
39,811.0,23690.0,2.0,2.0
40,811.0,48591.0,2.0,2.0
41,843.0,22331.0,2.0,2.0
42,843.0,24142.0,2.0,2.0
43,843.0,35373.0,2.0,2.0
44,843.0,45479.0,2.0,2.0
45,858.0,10217.0,2.0,2.0
46,858.0,16866.0,2.0,2.0
47,887.0,29173.0,2.0,2.0
48,887.0,41462.0,2.0,2.0
49,1833.0,5515.0,2.0,2.0
50,1833.0,32933.0,2.0,2.0
51,1902.0,19715.0,2.0,2.0
52,1902.0,43846.0,2.0,2.0
53,2097.0,24798.0,2.0,2.0
54,2097.0,28558.0,2.0,2.0
55,2175.0,6779.0,2.0,2.0
56,2175.0,10905.0,2.0,2.0
57,2175.0,12138.0,2.0,2.0
58,2175.0,12582.0,2.0,2.0
59,2175.0,16863.0,2.0,2.0
60,2467.0,2837.0,2.0,2.0
61,2467.0,26219.0,2.0,2.0
62,2467.0,33257.0,2.0,2.0
63,2523.0,9044.0,2.0,2.0
64,2523.0,11542.0,2.0,2.0
65,2523.0,17423.0,2.0,2.0
66,2523.0,18421.0,2.0,2.0
67,2523.0,25380.0,2.0,2.0
68,2523.0,28376.0,2.0,2.0
69,2523.0,38738.0,2.0,2.0
70,2523.0,39838.0,2.0,2.0
71,2676.0,12052.0,2.0,2.0
72,2676.0,27200.0,2.0,2.0
73,2708.0,22856.0,2.0,2.0
74,2760.0,3517.0,2.0,2.0
75,2760.0,5002.0,2.0,2.0
76,2760.0,9685.0,2.0,2.0
77,2760.0,12707.0,2.0,2.0
78,2760.0,19516.0,2.0,2.0
79,2760.0,19584.0,2.0,2.0
80,2760.0,25930.0,2.0,2.0
81,2760.0,26773.0,2.0,2.0
82,2760.0,30363.0,2.0,2.0
83,2760.0,34317.0,2.0,2.0
84,2760.0,35540.0,2.0,2.0
85,2760.0,47492.0,2.0,2.0
86,2760.0,47812.0,2.0,2.0
87,3220.0,3860.0,2.0,2.0
88,3220.0,11215.0,2.0,2.0
89,3597.0,21728.0,2.0,2.0
90,3597.0,37028.0,2.0,2.0
91,4176.0,35082.0,2.0,2.0
92,4176.0,48374.0,2.0,2.0
93,4480.0,8859.0,2.0,2.0
94,4480.0,17745.0,2.0,2.0
95,4480.0,19715.0,2.0,2.0
96,4480.0,25380.0,2.0,2.0
97,4480.0,28709.0,2.0,2.0
98,4480.0,29271.0,2.0,2.0
99,4480.0,35082.0,2.0,2.0
100,4570.0,17355.0,2.0,2.0
101,4570.0,29271.0,2.0,2.0
102,5002.0,5892.0,2.0,2.0
103,5002.0,18835.0,2.0,2.0
104,5002.0,22272.0,2.0,2.0
105,5002.0,30363.0,2.0,2.0
106,5002.0,47492.0,2.0,2.0
107,5397.0,35082.0,2.0,2.0
108,5647.0,11991.0,2.0,2.0
109,5647.0,16984.0,2.0,2.0
110,5647.0,33089.0,2.0,2.0
111,5647.0,33514.0,2.0,2.0
112,5653.0,6779.0,2.0,2.0
113,5653.0,16266.0,2.0,2.0
114,5653.0,18275.0,2.0,2.0
115,5719.0,7300.0,2.0,2.0
116,5719.0,18467.0,2.0,2.0
117,5729.0,12138.0,2.0,2.0
118,5729.0,32412.0,2.0,2.0
119,5729.0,34189.0,2.0,2.0
120,5772.0,4290.0,2.0,2.0
121,5772.0,19699.0,2.0,2.0
122,5892.0,811.0,2.0,2.0
123,5892.0,2760.0,2.0,2.0
124,5892.0,5002.0,2.0,2.0
125,5892.0,12775.0,2.0,2.0
126,5892.0,18447.0,2.0,2.0
127,5892.0,22272.0,2.0,2.0
128,5892.0,34317.0,2.0,2.0
129,5892.0,48591.0,2.0,2.0
130,6194.0,2679.0,2.0,2.0
131,6194.0,5271.0,2.0,2.0
132,6194.0,9225.0,2.0,2.0
133,6194.0,10345.0,2.0,2.0
134,6194.0,32782.0,2.0,2.0
135,6194.0,38876.0,2.0,2.0
136,6194.0,42656.0,2.0,2.0
137,6194.0,42918.0,2.0,2.0
138,6194.0,44899.0,2.0,2.0
139,6194.0,45933.0,2.0,2.0
140,6235.0,8142.0,2.0,2.0
141,6235.0,13852.0,2.0,2.0
142,6245.0,4554.0,2.0,2.0
143,6245.0,6612.0,2.0,2.0
144,6245.0,32412.0,2.0,2.0
145,6257.0,31863.0,2.0,2.0
146,6257.0,41885.0,2.0,2.0
147,6534.0,20397.0,2.0,2.0
148,6534.0,24535.0,2.0,2.0
149,6534.0,33700.0,2.0,2.0
150,6534.0,43964.0,2.0,2.0
151,6534.0,46330.0,2.0,2.0
152,6612.0,6245.0,2.0,2.0
153,6612.0,26777.0,2.0,2.0
154,6675.0,11215.0,2.0,2.0
155,6675.0,27851.0,2.0,2.0
156,6776.0,16192.0,2.0,2.0
157,6776.0,29165.0,2.0,2.0
158,6776.0,35633.0,2.0,2.0
159,6776.0,44940.0,2.0,2.0
160,6779.0,2175.0,2.0,2.0
161,6779.0,5653.0,2.0,2.0
162,6779.0,10905.0,2.0,2.0
163,6808.0,12495.0,2.0,2.0
164,6808.0,18026.0,2.0,2.0
165,6838.0,11389.0,2.0,2.0
166,6838.0,34544.0,2.0,2.0
167,6838.0,51019.0,2.0,2.0
168,7032.0,8142.0,2.0,2.0
169,7032.0,15736.0,2.0,2.0
170,7032.0,34450.0,2.0,2.0
171,7980.0,12678.0,2.0,2.0
172,7980.0,27200.0,2.0,2.0
173,8020.0,26219.0,2.0,2.0
174,8020.0,33257.0,2.0,2.0
175,8020.0,38876.0,2.0,2.0
