source,target
1,1511
1,3577
1,4492
1,6045
1,2390
1,2436
1511,7227
1511,2211
1511,3729
1511,4492
1511,6045
3577,5827
3577,6045
3577,2390
3577,6237
4492,4745
6045,2878
6045,8761
6045,6237
2390,7656
5777,4857
5777,5202
5777,5321
5777,347
5777,7566
4,74
4,4164
4,5243
74,2624
74,8944
4164,919
4164,5388
6,2138
6,1222
6,910
6,183
2138,910
2138,1143
2138,1222
2138,8404
2138,5271
2138,8305
1222,5271
910,183
910,1143
910,5821
8,5150
8,7966
8,3860
7665,4378
7665,2993
7665,8003
7665,376
10,2118
10,7743
10,6171
2118,7743
2118,6171
2118,4116
2118,4518
2118,3934
2118,4735
7743,712
11,5297
11,7610
11,2930
11,4559
11,4270
11,583
11,6246
11,5233
5297,583
5297,3377
5297,7189
5297,8634
5297,5738
5297,6778
5297,8999
7610,1719
7610,2930
7610,6246
2930,5233
4559,3377
4559,6832
4270,1719
4270,5233
583,8999
6246,2987
6246,3475
6246,4759
6246,7291
6246,7268
6246,8436
5233,886
5233,2300
5233,3738
5233,4977
5233,6322
5233,5327
5233,8444
5233,5268
5233,5732
5233,8782
5233,5534
7798,2251
7798,2434
7798,3861
3861,1894
3861,5721
3861,7529
13,1762
13,9128
13,1239
1762,421
1762,1239
9128,3261
9128,3262
9128,6258
9128,6392
14,7126
14,735
14,2357
14,4618
7126,735
7126,821
7126,2359
7126,3107
7126,4703
7126,4872
7126,5228
7126,5229
7126,5631
7126,5752
7126,6951
7126,7710
7126,8473
7126,8653
7126,8366
7126,828
735,584
735,821
735,5752
735,3841
735,8473
735,5631
735,4703
735,2359
735,6951
584,2359
584,3312
584,4401
584,2682
4401,1420
4401,2005
4401,4404
4401,8655
17,7583
17,101
17,2487
7583,554
7583,2487
7583,3636
7583,8333
7583,8267
7583,3868
101,7645
101,146
101,6091
2487,595
2487,3906
2487,3868
2487,3707
18,2255
18,4413
18,8913
2255,431
2255,7053
4413,4276
4413,6409
4413,8913
8913,64
8913,882
7936,4159
7936,4630
7936,7446
7936,8973
7936,5807
21,2306
21,4450
21,5277
21,6380
2306,407
2306,4450
2306,8864
2306,6984
2306,7548
2306,2366
2306,6380
2306,4473
2306,3041
2306,5062
4450,2366
4450,3426
4450,6122
4450,7548
5277,3336
5277,6914
6380,407
6380,5017
5660,3768
5660,8640
5660,8823
5660,4033
5660,8160
2975,8869
2975,3207
2975,1556
2975,3133
3868,788
3868,2461
3868,3439
3868,7163
3868,7606
3868,8881
3868,8267
3868,4500
28,7509
28,7336
28,3851
28,5677
2627,4074
2627,8589
2627,377
30,7041
30,6686
30,568
7041,1255
7041,7116
7041,7445
6686,3296
6686,6657
6686,8030
8505,119
8505,1375
8505,4913
8505,5534
8505,6095
8505,6165
8505,6693
8505,7614
8505,7968
8505,8043
8505,8078
8505,8524
8505,8782
8505,7301
4702,5752
36,4689
36,6522
36,7737
4689,448
4689,1233
4689,1414
4689,3202
4689,4151
4689,7133
4689,4763
4689,6015
6522,1605
6522,7737
7737,7486
7737,2513
37,230
37,6062
37,7937
37,3317
37,5691
37,2300
37,3957
37,1817
37,6718
230,7891
230,836
230,5691
230,2300
6062,3495
6062,5691
6062,1817
7937,836
7937,1817
7937,2300
7937,3495
7937,4977
7937,5037
7937,8535
7937,8583
3317,2567
3317,6718
3317,5691
5691,836
2300,5327
2300,4977
3957,886
3957,2341
3957,2567
3957,6467
3957,5732
3957,8345
1817,8535
6718,435
6718,886
6718,1368
6718,2341
6718,5111
6718,5732
6718,8345
39,5132
39,6998
39,2083
5132,540
5132,5102
5132,5696
5132,8775
5132,8324
5132,2083
40,668
40,1486
40,903
668,3746
668,3766
668,2311
1486,903
1486,2311
1486,6721
1486,987
903,5212
903,6721
1845,217
1845,763
1845,1725
1845,7451
1845,7916
1845,2557
217,1086
217,4141
217,225
45,8780
45,4794
45,497
45,6538
8780,2596
8780,3853
8780,6937
8780,6069
46,6668
46,8189
46,216
6668,8189
6668,5039
8189,511
8189,3039
8189,4042
8189,5797
8189,6485
8189,6644
8189,8861
216,7149
216,2355
47,2312
47,2123
47,5864
2312,7108
2312,6104
2123,1064
2123,9059
