source,target
955,990
955,962
955,960
955,2373
962,3873
962,404
962,5193
2031,3873
2031,2190
2031,72
2031,67
13,3966
13,3967
13,2137
13,3965
13,1942
13,2130
13,361
3966,3965
3966,12
3966,3967
3967,3963
2137,3965
2137,5299
3963,1944
3963,5208
14,5299
14,2114
14,44
5299,5272
2026,2023
2026,1377
2026,2113
2023,1985
2023,1180
1047,1180
1047,1068
1047,1039
1068,2990
1068,4973
1068,771
771,773
771,723
773,31
773,774
31,5069
31,4966
774,1407
774,5636
1407,721
1407,1069
1067,1069
1067,1377
1067,1044
1044,1040
1044,1182
42,2746
42,2743
42,871
2746,871
2746,2122
2743,381
2743,5061
5061,4966
5061,5057
4966,2742
44,2742
44,4921
2944,2949
2944,1369
2944,4727
2874,2949
2874,2890
2874,4398
54,5057
54,5089
54,2802
54,545
5057,1285
5057,5631
5089,97
5089,5238
5089,5631
55,2894
2872,2945
2872,2880
2872,2845
2945,2949
2945,1373
2945,4676
67,3837
67,1373
212,1424
212,1432
212,3289
1424,3174
1424,4956
3174,3171
3174,3501
3174,2845
72,1369
72,3837
1369,1323
1323,3175
1323,405
1323,4676
3175,242
3175,3170
3175,3289
78,631
78,5117
78,5372
78,2969
78,5656
78,957
78,958
631,1965
631,5117
5117,5123
1377,3838
1377,4973
2969,2890
2969,1180
1291,1293
1291,1285
1291,3121
1293,4921
1293,97
97,1285
101,5651
101,2449
101,2450
101,1944
3289,1942
3289,5647
721,718
721,2841
1944,1942
1944,1923
134,4854
134,4676
134,4264
4854,408
4854,4727
4854,5372
4676,138
138,4937
138,4719
4937,4938
4937,1859
4938,4229
4938,1856
146,169
146,4944
146,1845
169,3674
169,1790
169,1845
169,3714
169,3670
147,3674
147,1790
147,1791
147,4944
3674,4944
3674,3646
1790,1789
1790,3714
1791,1789
1791,5004
1791,5022
1791,5130
1789,1788
1789,5139
168,167
168,3642
168,3641
168,3640
149,3641
149,3646
149,1566
3641,3642
3646,3640
3646,426
3770,366
3770,1563
3770,3772
3770,2990
1563,1694
1563,1566
366,1561
366,3769
3150,3523
3150,5192
3150,995
3150,280
3150,5194
3150,4228
158,3400
158,5469
158,159
158,712
158,5470
3400,4978
3400,5188
3400,5470
5469,634
5469,636
5469,5192
5469,680
5469,5190
5469,280
159,990
159,5192
159,3152
159,5194
712,3523
712,5193
712,5194
712,5332
712,5188
712,3501
712,702
712,3397
712,3389
712,1446
5470,636
4978,5194
4978,3120
4978,5188
4978,4967
4978,242
5188,3121
5188,3397
634,636
634,1984
634,5190
636,279
636,4923
5192,680
680,280
680,3152
5190,280
5190,683
5190,3123
280,682
280,5193
990,3776
165,1561
165,3769
165,1564
1561,1694
3769,3776
1564,5027
1564,3721
167,3640
167,3721
3721,3642
3642,260
3642,3670
1845,3670
172,4281
172,5003
172,5141
5027,5022
5027,1965
5631,1965
179,812
179,5238
179,5069
179,5484
812,5069
812,5272
5238,5484
5484,2130
5123,1566
5123,5130
5141,4276
5141,5139
187,1854
1856,1854
1856,3151
1856,298
1854,1861
1854,210
3384,3389
3384,1446
3384,1432
4956,477
4956,216
218,219
219,3348
219,1433
3348,476
3348,477
3388,3788
3388,1436
3388,3397
5562,5130
5562,5022
5562,3788
5562,3786
230,2534
230,1412
230,3501
2534,4977
2534,3417
1412,3417
1412,2493
3501,5194
5194,705
5194,242
5194,3121
5194,1984
242,2493
2493,281
3170,2450
3170,4324
3417,498
260,3564
260,594
260,3569
3564,3569
3564,705
594,1746
594,1748
2638,1743
2638,371
2638,498
5193,702
278,4963
278,279
278,3121
4963,3121
4963,3123
4963,279
4963,4855
4963,3833
3121,3523
3121,683
3121,714
3121,5332
3121,5661
3121,705
3123,4855
3123,5332
4855,2013
682,958
682,404
3152,3151
2640,1722
2640,2715
2640,4977
4977,3714
298,4264
298,4323
298,4324
3171,2449
3171,4323
2449,2373
1446,1444
1432,2465
2465,5233
2465,2450
5208,2118
5208,970
3833,1376
3833,3837
361,3873
361,2114
2990,2802
371,2802
371,2718
2718,2742
2718,2190
2113,2118
2113,381
381,2715
2715,545
2992,545
2992,1069
2992,3776
404,405
405,4727
5372,2968
5372,412
426,3569
426,4967
5334,5345
5334,5347
5334,1040
5345,5346
5345,5347
5347,5346
5347,5407
1626,1702
1626,1746
1626,5004
1722,1712
1722,4229
1696,1694
1696,1630
1696,1712
4398,714
4398,1039
4398,970
2841,2845
2841,1373
471,476
476,477
476,484
4264,4228
4264,4261
4228,1743
498,3714
5003,1788
5003,5004
5003,1630
1630,1748
1746,596
2373,1433
4973,1376
3788,1450
3788,1708
3523,683
683,957
958,957
4276,4323
4276,1748
596,4331
596,4277
596,4324
4331,4277
4331,4281
4277,4281
1984,1985
1984,3120
3151,1942
3151,1859
714,723
705,4967
702,1450
1450,1436
1985,718
1985,3838
718,1040
723,970
5272,5271
871,4923
960,5233
960,970
5233,995
995,3772
1039,5407
1182,2013
1182,2968
1376,2022
1433,1436
1444,3786
1444,3389
3786,1712
1702,3772
1702,1708
1708,1743
4229,4261
1788,5139
1859,1861
1861,1923
1923,4261
3120,5660
3838,3837
2013,2022
2022,3873
2190,2114
2118,2122
2122,2130
2890,2891
2968,2880
2891,53
2891,2894
2880,2894
4923,4921
5346,5407
