source,target
37,4490
37,38
37,34888
4490,38
4490,34888
38,7191
7191,713
7191,7190
7191,34883
11586,2877
11586,2876
11586,2878
11586,7190
11586,713
14501,18996
14501,33450
14501,29195
4512,24758
4512,24652
4512,4513
19045,8719
19045,33488
19045,33481
19045,19040
33484,33489
33484,8715
33484,33481
8719,3003
8719,3006
8719,14545
8715,3005
8715,3004
8715,11897
8715,19039
8715,12558
114,14573
114,14574
114,13064
114,17897
114,28698
14573,124
14573,3554
14573,14574
14574,30194
124,121
124,3554
3554,37874
3554,3919
3554,3977
37874,13553
37874,37873
37874,27454
121,22536
121,24828
22536,24338
22536,24343
24828,30219
24828,30218
145,30668
145,862
145,146
30668,10909
30668,30665
862,861
862,5864
146,29335
146,147
10909,10903
10909,24855
861,29335
861,147
29335,24855
29335,29331
147,150
150,151
150,10903
151,11224
151,11719
10903,24849
11224,24847
11224,11223
11719,11712
11719,11721
152,11712
152,24847
152,24855
11712,25916
24847,24848
24848,24849
24848,29331
174,166
174,34140
174,27325
166,165
166,6379
17284,16590
17284,15601
17284,15875
17284,7748
17284,15886
17284,36957
17284,6087
17284,26186
16590,6087
16590,17287
15601,11507
15601,11509
15601,7747
15875,8618
15875,34877
15875,7098
15875,10709
15875,8624
7748,170
7748,31840
7748,22930
7748,26189
7748,26588
15886,3879
15886,34830
15886,7098
15886,36060
15886,1290
165,34144
165,10118
165,38805
165,22892
34144,14629
34144,20559
34144,37472
34144,10118
10118,690
10118,25427
10118,18530
10118,19941
38805,33843
38805,1950
38805,6379
38805,33847
690,9323
690,19639
25427,34140
25427,35551
25427,25430
170,2019
170,7096
170,15812
2019,2008
2019,11503
7096,25439
7096,7746
7096,8629
7096,15874
7096,8618
2008,7670
2008,31840
2008,32590
2008,10422
2008,10424
2008,3595
2008,7004
2008,31838
31840,31838
22930,9506
22930,22934
22930,1090
22930,34304
26189,7670
26189,21145
26189,11507
26189,30588
26189,10004
178,20552
178,177
178,24871
20552,17359
20552,183
177,11222
177,24869
176,180
176,13485
176,12181
180,30665
180,182
30665,23777
11222,11223
11222,5569
11223,3016
17359,13096
17359,24876
182,181
182,183
181,22852
181,183
183,24876
22852,25623
22852,35420
25623,24873
25623,22458
25623,24874
25623,31180
25623,35420
25623,35433
24876,24874
24874,10134
24874,24873
184,6308
184,27559
184,30432
6308,6306
6308,30064
6308,32371
16059,16062
16059,18269
16059,725
16062,31089
16062,30433
186,16560
186,11602
186,12210
16560,10678
16560,18045
16560,16540
10678,10677
10678,25410
10678,25417
1450,11601
1450,1975
1450,26841
11602,15997
11602,16543
38292,16540
38292,18582
38292,17440
211,3378
211,5930
211,214
3378,5930
3378,7513
5930,3376
5930,5929
214,3380
214,25069
3380,3379
3380,25062
25069,3377
25069,25068
3379,17314
3379,17898
25062,5927
25062,367
3377,3374
3377,5927
25068,364
25068,32098
33078,12699
33078,33077
33078,14671
12699,23002
12699,4070
12699,27373
12699,13247
33077,4070
33077,27382
33077,27379
14133,31604
14133,37986
14133,8836
14133,23001
31604,33074
31604,4070
240,32064
240,14687
240,29297
32064,6060
32064,16172
32064,7268
257,25910
257,269
257,28840
25910,25908
25910,25914
269,21606
269,1119
21606,17139
21606,21609
21606,37782
17139,17138
17139,21148
17139,25905
21609,1117
21609,10237
21609,21148
21609,21608
1363,5664
1363,5670
1363,8692
5664,1224
5664,5665
5670,1350
5670,5665
274,16048
274,16051
274,13083
16048,275
16048,14720
16048,24981
16048,24980
16051,275
16051,4128
16051,8865
16051,24980
16051,8866
16051,277
275,19199
275,24981
14720,14713
14720,13077
24981,8866
24981,24980
24980,14713
24980,19199
24980,35656
19199,2669
277,16616
277,38906
4128,16616
4128,34635
4128,38916
8865,16052
8865,33648
8866,8872
22077,14724
22077,22078
22077,284
284,4746
284,14758
14724,14727
14724,286
22078,286
22078,29406
4746,4747
4746,14758
4746,14763
285,286
285,14727
285,287
14727,38032
287,13344
287,29463
13344,4747
13344,14765
4747,29463
12978,14416
12978,22688
12978,17438
14416,303
14416,23288
300,303
300,301
300,33403
303,37784
301,23287
