source,target
1,8340
1,1511
1,3577
1,4492
1,6045
1,2390
2,6464
2,5777
3,5706
3,8383
4,74
4,4164
4,4527
5,7720
5,8273
6,2138
6,3420
6,1222
6,910
7,2020
7,7107
8,6085
8,1133
8,5072
8,7065
9,2735
9,7665
10,4490
10,2118
10,7743
11,5297
11,7610
11,2930
11,4559
11,4270
11,583
11,6246
11,5233
12,7798
12,3861
13,1762
13,9128
13,646
14,7126
14,2852
14,735
14,6106
14,4428
15,584
15,4401
16,6286
16,345
17,7583
17,101
17,2487
17,6413
18,2255
18,4413
18,8913
19,8053
19,5880
20,7936
20,6391
21,2306
21,4450
21,7489
21,5277
21,6380
22,5660
22,8536
23,8872
23,2975
24,5851
24,7065
25,4395
25,3351
26,2446
26,3868
26,3630
27,4985
27,5133
28,271
28,4224
28,7843
28,7565
29,2627
29,2358
30,7041
30,893
30,6686
31,8505
31,6289
32,5638
32,6553
32,349
33,3368
33,9199
34,4655
34,3056
35,4702
35,5508
36,4689
36,6522
36,7737
37,230
37,6062
37,7937
37,3317
37,5691
37,2300
37,3957
37,1817
37,6718
38,7973
38,1684
39,9141
39,5582
39,5132
40,668
40,1486
40,903
41,402
41,2052
42,1845
42,217
43,7984
43,8582
44,3048
44,7282
44,3984
45,158
45,3441
45,8259
45,8780
46,6668
46,8189
46,216
46,6580
47,2312
47,2123
47,5864
48,8888
48,2705
49,8174
49,8010
49,8958
49,3625
50,7099
50,8877
51,6996
51,62
51,5964
52,5896
52,8540
53,2190
53,8165
54,4588
54,8571
55,9002
55,1735
55,771
56,7366
56,6743
56,1433
56,5911
56,2326
57,2821
57,3442
58,3174
59,4458
59,3980
59,8563
59,2803
59,1865
60,4256
60,211
60,4832
60,9251
60,4801
60,8360
60,5340
60,3076
60,5647
60,6118
60,7411
60,1611
61,5602
61,6406
62,3591
62,8425
63,8845
63,1859
64,7068
64,7708
64,8366
64,8913
64,8847
65,6897
65,4272
65,6518
65,5435
65,8167
65,8871
66,2454
66,2769
67,1113
67,4811
67,4014
67,608
67,3757
67,1694
67,4743
67,8346
67,3430
67,8007
67,4153
67,3589
67,7881
68,987
68,5393
69,6412
69,4976
69,4431
70,4080
70,872
71,3178
71,7227
72,7610
72,6246
73,3970
73,4939
74,2624
74,8944
75,5107
75,5114
75,167
76,1332
76,9142
77,8149
77,2477
77,2469
78,5917
78,8380
79,6594
79,1966
80,2107
80,3122
81,4908
81,1102
81,865
81,7402
81,8379
82,3458
82,4020
83,5626
83,8053
84,5865
84,1904
84,7791
84,8287
84,4849
84,7761
84,1198
85,8098
85,5524
86,7104
86,8511
86,5100
86,5287
87,4720
87,1956
88,5832
88,8980
88,2751
89,284
89,9257
90,822
