source,target
6.0,18729.0
6.0,45767.0
18729.0,30514.0
18729.0,189434.0
45767.0,32803.0
45767.0,39986.0
45767.0,49916.0
45767.0,164497.0
45767.0,180924.0
45767.0,193166.0
45767.0,239730.0
45767.0,46112.0
45767.0,239737.0
45767.0,241890.0
45767.0,252737.0
20.0,4258.0
20.0,9673.0
20.0,42686.0
4258.0,1744.0
4258.0,7482.0
4258.0,42686.0
9673.0,162464.0
9673.0,40132.0
42686.0,37405.0
26.0,1380.0
26.0,18989.0
1380.0,47622.0
1380.0,50514.0
18989.0,13726.0
18989.0,14023.0
18989.0,21895.0
18989.0,125134.0
38.0,13851.0
38.0,144581.0
38.0,40447.0
13851.0,20565.0
13851.0,90505.0
144581.0,40447.0
63.0,38083.0
63.0,45874.0
38083.0,19022.0
38083.0,17194.0
38083.0,21696.0
38083.0,99162.0
38083.0,146959.0
38083.0,211426.0
45874.0,16078.0
142.0,5280.0
142.0,157411.0
142.0,64350.0
5280.0,49964.0
5280.0,185886.0
5280.0,160201.0
157411.0,87553.0
153.0,14158.0
153.0,18556.0
153.0,40140.0
153.0,58232.0
153.0,79577.0
153.0,92940.0
153.0,118886.0
153.0,22945.0
153.0,250619.0
14158.0,5487.0
14158.0,144053.0
18556.0,5860.0
18556.0,25039.0
18556.0,110820.0
40140.0,47501.0
58232.0,19587.0
92940.0,22945.0
118886.0,26864.0
118886.0,36886.0
154.0,9032.0
154.0,134571.0
154.0,32632.0
154.0,249329.0
9032.0,8262.0
9032.0,25731.0
9032.0,47492.0
9032.0,49630.0
9032.0,50949.0
9032.0,189108.0
9032.0,258304.0
134571.0,32632.0
171.0,2656.0
171.0,131580.0
171.0,77360.0
2656.0,37070.0
2656.0,39477.0
2656.0,61207.0
2656.0,201870.0
131580.0,39080.0
172.0,40137.0
172.0,49081.0
40137.0,20499.0
49081.0,51564.0
49081.0,212494.0
173.0,7695.0
173.0,20459.0
173.0,29163.0
173.0,140429.0
173.0,24907.0
7695.0,26904.0
20459.0,29271.0
29163.0,16766.0
29163.0,24907.0
140429.0,16766.0
174.0,36847.0
174.0,41111.0
174.0,45235.0
36847.0,22977.0
41111.0,12690.0
41111.0,36908.0
41111.0,22977.0
41111.0,45235.0
41111.0,46972.0
41111.0,50165.0
41111.0,112408.0
41111.0,64731.0
41111.0,246413.0
175.0,4480.0
175.0,20621.0
4480.0,180.0
4480.0,16766.0
4480.0,27694.0
4480.0,62653.0
4480.0,74253.0
4480.0,149737.0
