线路名称,方向,站点序号,站点名称
101,0,1,百万庄西口
101,0,2,百万庄中街
101,0,3,百万庄东口
101,0,4,展览路
101,0,5,阜成门外
101,0,6,阜成门
101,0,7,阜成门内
101,0,8,白塔寺
101,0,9,西四路口东
101,0,10,西安门
101,0,11,北海
101,0,12,故宫
101,0,13,沙滩路口西
101,0,14,美术馆东
101,0,15,东四路口东
101,0,16,朝内小街
101,0,17,朝阳门内
101,0,18,朝阳门外
101,0,19,神路街
101,0,20,东大桥路口东
101,0,21,关东店
101,0,22,呼家楼西
101,0,23,小庄路口东
101,0,24,红庙路口西
101,0,25,红庙路口东
101,1,1,红庙路口东
101,1,2,红庙路口西
101,1,3,小庄路口东
101,1,4,呼家楼西
101,1,5,关东店
101,1,6,东大桥路口西
101,1,7,神路街
101,1,8,朝阳门外
101,1,9,朝阳门内
101,1,10,朝内小街
101,1,11,东四路口东
101,1,12,美术馆东
101,1,13,沙滩路口西
101,1,14,故宫
101,1,15,北海
101,1,16,西安门
101,1,17,西四路口东
101,1,18,白塔寺
101,1,19,阜成门内
101,1,20,阜成门
101,1,21,阜成门外
101,1,22,展览路
101,1,23,阜外西口
101,1,24,甘家口北
101,1,25,百万庄西口
102,0,1,北京南站
102,0,2,永定门长途汽车站
102,0,3,陶然桥北
102,0,4,太平街
102,0,5,虎坊路
102,0,6,虎坊桥路口西
102,0,7,果子巷
102,0,8,菜市口北
102,0,9,校场口
102,0,10,宣武门外
102,0,11,西单路口南
102,0,12,西单商场
102,0,13,缸瓦市
102,0,14,西四路口南
102,0,15,西四路口东
102,0,16,白塔寺
102,0,17,阜成门内
102,0,18,阜成门
102,0,19,阜成门外
102,0,20,展览路
102,0,21,阜外西口
102,0,22,甘家口北
102,0,23,甘家口大厦
102,0,24,百万庄
102,0,25,二里沟
102,0,26,动物园枢纽站
102,1,1,动物园枢纽站
102,1,2,二里沟
102,1,3,百万庄
102,1,4,甘家口大厦
102,1,5,甘家口东
102,1,6,阜外西口
102,1,7,展览路
102,1,8,阜成门外
102,1,9,阜成门
102,1,10,阜成门内
102,1,11,白塔寺
102,1,12,西四路口西
102,1,13,缸瓦市
102,1,14,甘石桥
102,1,15,西单商场
102,1,16,西单路口南
102,1,17,宣武门内
102,1,18,校场口
102,1,19,菜市口北
102,1,20,果子巷
102,1,21,虎坊桥路口南
102,1,22,太平街北口
102,1,23,太平街
102,1,24,陶然桥北
102,1,25,永定门长途汽车站
102,1,26,北京南站
103,0,1,北京站西
103,0,2,北京站西街西口
103,0,3,台基厂路口东
103,0,4,王府井路口北
103,0,5,校尉胡同
103,0,6,新东安市场
103,0,7,东安门大街西口
103,0,8,北京妇产医院
103,0,9,沙滩路口西
103,0,10,故宫
103,0,11,北海
103,0,12,西安门
103,0,13,西四路口东
103,0,14,白塔寺
103,0,15,阜成门内
103,0,16,阜成门
103,0,17,阜成门外
103,0,18,展览路
103,0,19,阜外西口
103,0,20,甘家口北
103,0,21,甘家口大厦
103,0,22,百万庄
103,0,23,二里沟
103,0,24,动物园枢纽站
103,1,1,动物园枢纽站
103,1,2,二里沟
103,1,3,百万庄
103,1,4,甘家口大厦
103,1,5,甘家口东
103,1,6,阜外西口
103,1,7,展览路
103,1,8,阜成门外
103,1,9,阜成门
103,1,10,阜成门内
103,1,11,白塔寺
103,1,12,西四路口东
103,1,13,西安门
103,1,14,北海
103,1,15,故宫
103,1,16,沙滩路口西
103,1,17,北京妇产医院
103,1,18,东安门大街西口
103,1,19,新东安市场
103,1,20,校尉胡同
103,1,21,王府井路口北
103,1,22,台基厂路口东
103,1,23,崇文门西
103,1,24,北京站西
104,0,1,北京站西
104,0,2,北京站西街西口
104,0,3,崇文门内
104,0,4,东单路口北
104,0,5,米市大街
104,0,6,灯市东口
104,0,7,灯市西口
104,0,8,美术馆北
104,0,9,大佛寺
104,0,10,宽街路口南
104,0,11,北兵马司
104,0,12,交道口南
104,0,13,方家胡同
104,0,14,安定门内
104,0,15,地坛西门
104,0,16,和平里北街西口
104,0,17,兴化路
104,0,18,和平里北街
104,0,19,和平里路口西
104,0,20,地铁柳芳站
104,1,1,地铁柳芳站
104,1,2,柳芳北街
104,1,3,国际展览中心
104,1,4,静安庄
104,1,5,静安里
104,1,6,柳芳东口
104,1,7,柳芳西口
104,1,8,西坝河南路
104,1,9,地铁柳芳站(西行)
104,1,10,和平里路口西
104,1,11,和平里北街
104,1,12,兴化路
104,1,13,和平里北街西口
104,1,14,地坛西门
104,1,15,安定门内
104,1,16,方家胡同
104,1,17,交道口南
104,1,18,北兵马司
104,1,19,宽街路口南
104,1,20,大佛寺
104,1,21,美术馆北
104,1,22,灯市西口
104,1,23,灯市东口
104,1,24,米市大街
104,1,25,东单路口北
104,1,26,崇文门内
104,1,27,北京站西
105,0,1,天桥
105,0,2,友谊医院东
105,0,3,永安路
105,0,4,虎坊桥路口西
105,0,5,果子巷
105,0,6,菜市口北
105,0,7,校场口
105,0,8,宣武门外
105,0,9,西单路口南
105,0,10,西单商场
105,0,11,缸瓦市
105,0,12,西四路口南
105,0,13,大红罗厂西口
105,0,14,平安里路口南
105,0,15,护国寺
105,0,16,新街口南
105,0,17,新开胡同
105,0,18,西直门内
105,0,19,西直门外
105,0,20,动物园
105,0,21,白石桥东
105,1,1,白石桥东
105,1,2,动物园
105,1,3,西直门外
105,1,4,西直门内
105,1,5,新开胡同
105,1,6,新街口西
105,1,7,护国寺
105,1,8,平安里路口南
105,1,9,大红罗厂西口
105,1,10,西四路口北
105,1,11,缸瓦市
105,1,12,甘石桥
105,1,13,西单商场
105,1,14,西单路口南
105,1,15,宣武门内
105,1,16,校场口
105,1,17,菜市口北
105,1,18,果子巷
105,1,19,虎坊桥路口南
105,1,20,永安路
105,1,21,友谊医院东
105,1,22,天桥
106,0,1,东直门枢纽站
106,0,2,东直门内
106,0,3,东内小街
106,0,4,北新桥路口南
106,0,5,东四十二条
106,0,6,魏家胡同
106,0,7,钱粮胡同
106,0,8,东四路口南
106,0,9,灯市东口
106,0,10,米市大街
106,0,11,东单路口北
106,0,12,崇文门内
106,0,13,磁器口北
106,0,14,红桥路口北
106,0,15,天坛北门
106,0,16,金鱼池
106,0,17,天桥
106,0,18,北纬路
106,0,19,太平街北口
106,0,20,太平街
106,0,21,陶然桥北
106,0,22,永定门长途汽车站
106,0,23,北京南站
106,1,1,北京南站
106,1,2,永定门长途汽车站
106,1,3,陶然桥北
106,1,4,太平街
106,1,5,北纬路
106,1,6,北纬路东口
106,1,7,天桥
106,1,8,金鱼池
106,1,9,天坛北门
106,1,10,红桥路口北
106,1,11,磁器口北
106,1,12,崇文门内
106,1,13,东单路口北
106,1,14,米市大街
106,1,15,灯市东口
106,1,16,东四路口南
106,1,17,钱粮胡同
106,1,18,魏家胡同
106,1,19,东四十二条
106,1,20,北新桥路口南
106,1,21,东内小街
106,1,22,东直门内
106,1,23,东直门枢纽站
107,0,1,东直门枢纽站
107,0,2,东直门内
107,0,3,东内小街
107,0,4,北新桥路口西
107,0,5,交道口东
107,0,6,小经厂
107,0,7,宝钞胡同
107,0,8,鼓楼
107,0,9,地安门外
107,0,10,北海北门
107,0,11,东官房
107,0,12,厂桥路口东
107,0,13,平安里路口东
107,0,14,平安医院
107,0,15,官园
107,0,16,车公庄西
107,0,17,三塔寺
