source,target
1,19713
1,34938
19713,26632
19713,39929
34938,21635
34938,34872
34938,37748
34938,39929
22,36247
22,41454
36247,45865
41454,40052
58,351
58,2687
58,2702
58,31956
58,34697
58,46330
58,46973
58,20397
351,31956
351,34697
351,45027
2687,2702
2702,46973
2702,48021
31956,20397
31956,20954
31956,34697
34697,20474
34697,46330
46330,6534
46330,15039
46330,43964
46973,2837
46973,3258
46973,8959
46973,21863
66,1695
66,253293
1695,1872
1695,33919
1695,40031
1695,246865
1695,48139
253293,1872
77,2141
77,5973
77,28464
77,30668
77,40520
77,48179
77,50339
2141,5973
2141,28464
2141,48179
2141,50339
2141,30668
5973,28464
5973,30668
5973,48179
28464,21100
28464,30668
28464,48179
28464,50339
28464,40520
30668,48179
30668,50339
40520,14267
40520,31116
40520,33279
40520,12442
40520,21100
40520,43634
40520,45443
40520,50339
48179,50339
50339,2900
50339,21100
50339,22280
50339,47392
80,8327
80,26635
8327,43633
8327,44859
26635,50889
102,6318
102,13096
6318,5273
6318,16544
6318,58599
6318,168025
13096,81576
115,172976
115,241143
172976,45195
241143,258772
153,5044
153,12686
153,34544
153,42649
153,46232
5044,998
5044,1965
5044,6771
5044,10761
5044,12686
5044,32625
5044,43092
5044,34544
12686,998
12686,34524
34544,6838
34544,29298
34544,32625
34544,46232
42649,32625
42649,42049
42649,10761
42649,172415
46232,11389
216,41885
216,49470
41885,6257
49470,33514
247,23925
247,25815
247,51224
23925,17708
23925,19791
25815,816
25815,1807
25815,5590
25815,6500
25815,6777
25815,19632
25815,33405
25815,48572
25815,48628
25815,51224
51224,1807
51224,5590
51224,9433
51224,9495
51224,13748
51224,18293
51224,19791
51224,20536
51224,23407
51224,24026
51224,28135
51224,28843
51224,29266
51224,29553
51224,29643
51224,29725
51224,33322
51224,34325
51224,35647
51224,38541
51224,40903
51224,42154
51224,46564
51224,48572
51224,49044
51224,4515
249,20346
249,28524
249,28622
249,41580
20346,18624
20346,25881
20346,28524
20346,28622
20346,41580
28524,23348
28524,28622
28524,51312
28622,4663
28622,4919
28622,7300
28622,12582
28622,18624
28622,23348
28622,27192
28622,25881
28622,29517
28622,39490
28622,48562
41580,20165
250,37229
250,39448
37229,7300
37229,18467
37229,39448
37229,49716
39448,7300
39448,18467
39448,31680
39448,40881
255,33245
255,51077
33245,10840
33245,11088
33245,41096
33245,41495
33245,51077
33245,44078
51077,1297
51077,9323
334,24921
334,26522
24921,30932
24921,35928
26522,30932
335,9685
335,30363
9685,2760
9685,13745
9685,19516
9685,26411
9685,30363
9685,31640
9685,32217
9685,47492
9685,48282
9685,25380
30363,2760
30363,5002
30363,13745
30363,19516
30363,25380
30363,48282
336,16766
336,44995
16766,13745
16766,25380
16766,27200
16766,29271
16766,35082
44995,29371
349,6799
349,10546
349,20375
6799,16116
6799,20375
6799,47793
6799,16308
10546,38331
45027,40463
385,13385
385,97757
385,169164
385,203304
13385,9769
13385,38478
13385,97757
13385,169164
97757,18955
97757,31292
97757,169164
169164,31292
169164,36840
169164,15457
169164,203304
169164,261754
203304,15457
203304,36840
390,9323
390,30421
9323,885
9323,7458
9323,10761
9323,19030
9323,23797
9323,27200
9323,37700
9323,42049
9323,44156
9323,46509
30421,9630
413,3628
413,16439
413,32297
3628,22034
3628,25580
16439,39832
32297,12195
435,3960
435,39495
3960,15808
39495,6878
39495,39493
39495,15808
39495,40350
474,6705
474,12677
474,29621
474,32698
474,34766
6705,31857
12677,32698
12677,37842
29621,32698
32698,9169
32698,10435
32698,12281
32698,15216
32698,27992
32698,34872
32698,37842
34766,29760
34766,31857
34766,40527
34766,42938
510,43634
510,45443
43634,4355
43634,5328
43634,9370
43634,11954
43634,12042
43634,12324
43634,12387
43634,12960
43634,13640
43634,14588
43634,17737
43634,17907
43634,18003
43634,18666
43634,18962
43634,23024
43634,23358
43634,24995
43634,27240
43634,28539
43634,28624
43634,31481
43634,33279
43634,38466
43634,41098
43634,12536
43634,40926
43634,45443
45443,33279
513,19294
513,165193
19294,12702
19294,18667
19294,37047
165193,32177
549,3768
549,28368
549,47427
3768,11333
3768,31481
28368,18680
47427,37490
47427,119254
47427,129469
47427,140648
570,4670
570,7398
570,10441
570,22463
570,23471
570,25625
570,25882
570,33602
570,35458
570,37496
570,41573
570,45149
570,48882
570,12597
570,49603
4670,708
4670,24372
4670,25451
4670,33602
4670,35458
4670,37496
4670,48882
7398,636
7398,2089
7398,3921
7398,8569
7398,12597
7398,17510
7398,18962
7398,23471
7398,23853
7398,24329
7398,25625
7398,25882
7398,35458
7398,37496
7398,37570
7398,37744
7398,40760
7398,41573
7398,41901
7398,48111
7398,49603
7398,12085
7398,14170
7398,15243
7398,22304
7398,37484
10441,9566
10441,18955
10441,22446
10441,25625
10441,28682
10441,34035
10441,35458
10441,37496
10441,91529
22463,25625
22463,33030
22463,35458
22463,45149
23471,16388
23471,21038
23471,25625
23471,25882
23471,28682
23471,34089
23471,35458
23471,37496
23471,40624
23471,41573
23471,45203
23471,45264
25625,21038
25625,33030
25625,35458
25625,37496
25625,41573
25625,25882
25625,49603
25882,14170
25882,22018
25882,23853
25882,25083
25882,12597
25882,30122
25882,30731
25882,31321
25882,35458
25882,37496
25882,40760
25882,41573
25882,46912
25882,138682
33602,15053
33602,24372
33602,25451
33602,48882
35458,13050
35458,16388
35458,18962
35458,20981
35458,21038
35458,34946
35458,37496
35458,40127
35458,41573
35458,49603
35458,40760
35458,48111
37496,708
37496,13050
37496,20981
37496,37494
37496,6367
37496,38277
37496,45909
37496,48882
37496,49603
37496,41573
41573,12597
41573,22018
41573,23853
41573,36509
41573,48111
41573,138682
48882,708
48882,6367
48882,24372
48882,25451
608,20249
608,22298
608,40903
608,42836
20249,40903
20249,42836
22298,30595
22298,35647
22298,40903
40903,1807
40903,3958
40903,5080
40903,7300
40903,7611
40903,13167
40903,18293
40903,20123
40903,20147
40903,22652
40903,29553
40903,30188
40903,4919
40903,11603
40903,29725
40903,42836
40903,47163
40903,49044
42836,18293
42836,37537
636,4294
636,14170
636,17510
636,19445
636,22304
636,40760
4294,35892
14170,2089
14170,2967
14170,3122
14170,5797
14170,9433
14170,11626
14170,12002
14170,12261
14170,12413
14170,12071
14170,17510
14170,26718
14170,29030
14170,29151
14170,29725
14170,31321
14170,34325
14170,38707
