source,target
AER,KZN
AER,DYU
AER,KIV
AER,MSQ
AER,TAS
AER,TZX
AER,EVN
AER,KRR
AER,DME
AER,IST
AER,LED
AER,OMS
AER,SVO
AER,SVX
AER,LBD
AER,VKO
AER,KJA
AER,NSK
KZN,ASF
KZN,CEK
KZN,DME
KZN,EGO
KZN,LED
KZN,SVX
KZN,AYT
KZN,DWC
KZN,SHJ
KZN,FEG
KZN,SKD
KZN,TAS
KZN,ALA
KZN,SVO
KZN,DYU
KZN,LBD
KZN,IST
KZN,UFA
KZN,FRU
KZN,OSS
DYU,MRV
DYU,CEK
DYU,OVB
DYU,DME
DYU,NBC
DYU,LED
DYU,SVX
DYU,IKT
DYU,DXB
DYU,URC
DYU,UFA
DYU,DEL
DYU,KBL
DYU,FRA
DYU,KRR
DYU,KJA
DYU,ALA
DYU,FRU
DYU,IKA
DYU,IST
DYU,SGC
DYU,SHJ
DYU,MHD
DYU,OMS
DYU,REN
DYU,GOJ
DYU,KUF
DYU,ROV
DYU,VOG
KIV,DME
KIV,LED
KIV,LCA
KIV,DWC
KIV,MUC
KIV,BLQ
KIV,TSF
KIV,ATH
KIV,DUB
KIV,FCO
KIV,LIS
KIV,MXP
KIV,STN
KIV,VCE
KIV,VIE
KIV,VRN
KIV,FRA
KIV,RIX
KIV,IST
KIV,SGC
KIV,BVA
KIV,KBP
KIV,OTP
KIV,CIA
MSQ,DME
MSQ,KGD
MSQ,GYD
MSQ,LED
MSQ,SVX
MSQ,GVA
MSQ,LCA
MSQ,ARN
MSQ,BCN
MSQ,LGW
MSQ,AMS
MSQ,TLV
MSQ,HAJ
MSQ,BUD
MSQ,CDG
MSQ,FCO
MSQ,MXP
MSQ,NCE
MSQ,PRG
MSQ,VIE
MSQ,WAW
MSQ,FRA
MSQ,HEL
MSQ,SVO
MSQ,SXF
MSQ,TBS
MSQ,KRR
MSQ,EVN
MSQ,RIX
MSQ,IKA
MSQ,IST
MSQ,KUF
MSQ,KBP
MSQ,AUH
MSQ,BUS
MSQ,KUT
MSQ,VNO
MSQ,BEY
MSQ,ASB
MSQ,TSE
TAS,MRV
TAS,CEK
TAS,OVB
TAS,DME
TAS,KGD
TAS,GYD
TAS,LED
TAS,SVX
TAS,IKT
TAS,DXB
TAS,BKK
TAS,SIN
TAS,KUL
TAS,BHK
TAS,FEG
TAS,KSQ
TAS,NMA
TAS,NVI
TAS,SKD
TAS,URC
TAS,PEK
TAS,ICN
TAS,TLV
TAS,VKO
TAS,NCU
TAS,TJM
TAS,UFA
TAS,DEL
TAS,CDG
TAS,FCO
TAS,LHR
TAS,MXP
TAS,PRG
TAS,FRA
TAS,NRT
TAS,SVO
TAS,KRR
TAS,KJA
TAS,RIX
TAS,ALA
TAS,FRU
TAS,IKA
TAS,IST
TAS,SHJ
TAS,KUF
TAS,ROV
TAS,VOG
TAS,KBP
TAS,ATQ
TAS,AZN
TAS,TMJ
TAS,TSE
TAS,UGC
TAS,OMS
TAS,GOJ
TZX,SAW
TZX,AYT
TZX,IST
TZX,ADA
TZX,ADB
TZX,ESB
EVN,MRV
EVN,CEK
EVN,OVB
EVN,DME
EVN,LED
EVN,SVX
EVN,DXB
EVN,VKO
EVN,TJM
EVN,ATH
EVN,CDG
EVN,FCO
EVN,PRG
EVN,VIE
EVN,WAW
EVN,SVO
EVN,KRR
EVN,KJA
EVN,RTW
EVN,VOG
EVN,SCO
EVN,IKA
EVN,SHJ
EVN,OMS
EVN,BEY
EVN,KBP
EVN,GOJ
EVN,KUF
EVN,ROV
EVN,VOZ
EVN,DNK
KRR,OVB
KRR,DME
KRR,EGO
KRR,LED
KRR,SVX
KRR,NUX
KRR,LCA
KRR,DXB
KRR,MUC
KRR,SAW
KRR,FEG
KRR,NMA
KRR,TLV
KRR,VKO
KRR,ATH
KRR,BUD
KRR,PRG
KRR,SKG
KRR,VIE
KRR,SVO
KRR,VOG
KRR,VOZ
KRR,SCO
KRR,FRU
KRR,IST
KRR,MCX
KRR,RMI
KRR,LBD
KRR,PFO
KRR,KJA
DME,ASF
DME,MRV
DME,CEK
DME,OVB
DME,NBC
DME,TGK
DME,UUA
DME,BHK
DME,EGO
DME,FEG
DME,KSQ
DME,NMA
DME,NVI
DME,SKD
DME,TIV
DME,LED
DME,MJZ
DME,PYJ
DME,RTW
DME,LBD
DME,AKX
DME,CSY
DME,ESL
DME,GRV
DME,IJK
DME,MCX
DME,PES
DME,PEZ
DME,SKX
DME,ULV
DME,VKT
DME,VOZ
DME,ATH
DME,CFU
DME,HER
DME,KGS
DME,RHO
DME,SKG
DME,BUS
DME,DUS
