source,target
1,180
1,2
2,114
2,137
114,8
114,118
114,119
114,129
114,141
114,144
114,174
114,193
137,27
137,138
137,212
3,107
3,121
3,149
3,164
3,165
3,174
3,183
3,195
3,22
3,4
3,46
3,57
3,69
57,14
69,5
5,112
5,122
5,123
5,23
5,45
5,6
5,66
5,67
5,68
112,32
23,179
23,32
23,65
45,14
45,19
45,37
45,44
45,51
7,21
7,8
21,14
21,19
21,37
21,44
8,19
8,71
19,15
19,16
19,18
19,101
19,106
19,20
19,84
71,18
71,146
71,184
9,10
9,11
9,116
9,117
9,188
11,115
11,14
116,115
116,192
117,115
117,192
14,101
14,106
14,141
14,15
14,16
14,17
14,18
14,190
14,20
14,43
14,53
14,62
14,77
14,84
14,88
14,89
14,99
12,13
13,61
13,65
13,72
13,74
61,20
61,111
61,129
61,175
61,177
61,203
61,62
61,74
65,176
65,189
65,70
65,78
72,73
72,75
106,37
106,47
16,37
18,37
190,44
20,187
20,37
20,44
20,60
20,86
43,44
84,44
84,102
99,26
99,44
37,100
37,143
37,50
187,196
44,200
60,196
86,196
86,87
179,134
179,136
32,110
32,111
32,134
32,135
32,136
32,167
32,168
32,169
32,172
32,33
24,144
24,189
24,25
144,145
144,148
144,162
144,181
144,191
26,108
26,109
26,131
26,198
26,199
26,201
26,202
26,27
26,38
26,39
26,58
26,59
38,85
39,85
34,104
34,105
34,127
34,128
34,140
34,146
34,159
34,204
34,35
34,48
34,79
34,80
127,47
146,158
159,47
159,158
48,47
143,197
40,147
40,148
40,41
40,42
147,124
147,161
148,124
148,161
51,166
51,194
51,52
47,150
47,153
47,163
47,184
47,49
184,158
102,103
124,125
124,126
162,161
