source,target
AER,KZN
AER,DYU
AER,KIV
AER,MSQ
AER,TAS
AER,TZX
AER,EVN
AER,KRR
AER,DME
AER,IST
AER,LED
AER,OMS
AER,SVO
AER,SVX
AER,LBD
AER,VKO
AER,KJA
AER,NSK
KZN,ASF
KZN,CEK
KZN,DME
KZN,EGO
KZN,LED
KZN,SVX
KZN,AYT
KZN,DWC
KZN,SHJ
KZN,FEG
KZN,SKD
KZN,TAS
KZN,ALA
KZN,SVO
KZN,DYU
KZN,LBD
KZN,IST
KZN,UFA
KZN,FRU
KZN,OSS
ASF,MRV
ASF,DME
ASF,LED
ASF,SCO
ASF,SVO
ASF,SAW
MRV,RTW
MRV,SAW
MRV,SCO
MRV,DXB
MRV,TAS
MRV,GYD
MRV,TLV
MRV,DME
MRV,EVN
MRV,LED
MRV,SVO
MRV,SVX
MRV,DWC
MRV,DYU
MRV,VKO
CEK,OVB
CEK,PRG
CEK,FRU
CEK,OSS
CEK,DME
CEK,DYU
CEK,EVN
CEK,LBD
CEK,LED
CEK,SVO
CEK,DWC
CEK,NMA
CEK,TAS
OVB,SVX
OVB,BTK
OVB,IKT
OVB,MJZ
OVB,KRR
OVB,LED
OVB,PYJ
OVB,DYU
OVB,LBD
OVB,URC
OVB,KQT
OVB,PEK
OVB,NMA
OVB,TAS
OVB,KJA
OVB,NJC
OVB,NZH
OVB,OMS
OVB,SLY
OVB,GYD
OVB,TSE
OVB,FRU
OVB,OSS
OVB,KBP
OVB,ALA
OVB,BKK
OVB,CIT
OVB,DME
OVB,DXB
OVB,EVN
OVB,FEG
OVB,FRA
OVB,HKG
OVB,HTA
OVB,KHV
OVB,MUC
OVB,NSK
OVB,PRG
OVB,UUD
OVB,VVO
OVB,YKS
OVB,SVO
OVB,IST
OVB,HRB
OVB,DWC
OVB,HKT
OVB,HRG
OVB,VKO
OVB,HMA
OVB,NUX
OVB,SGC
OVB,TJM
DME,NBC
DME,TGK
DME,UUA
DME,BHK
DME,EGO
DME,FEG
DME,KSQ
DME,NMA
DME,NVI
DME,SKD
DME,TIV
DME,KRR
DME,LED
DME,MJZ
DME,PYJ
DME,RTW
DME,DYU
DME,LBD
DME,AKX
DME,CSY
DME,ESL
DME,GRV
DME,IJK
DME,MCX
DME,PES
DME,PEZ
DME,SKX
DME,ULV
DME,VKT
DME,VOZ
DME,KIV
DME,ATH
DME,CFU
DME,HER
DME,KGS
DME,RHO
DME,SKG
DME,BUS
DME,DUS
DME,FRA
DME,MUC
DME,TXL
DME,HEL
DME,MSQ
DME,LHR
DME,NBE
DME,RIX
DME,FCO
DME,BKK
DME,HKG
DME,CEE
DME,KVK
DME,CIT
DME,SCO
DME,DMB
DME,KQT
DME,TJU
DME,DXB
DME,AUH
DME,SHJ
DME,FRU
DME,VIE
DME,AZN
DME,NCU
DME,TAS
DME,TMJ
DME,UGC
DME,KRO
DME,AGP
DME,ALC
DME,BCN
DME,MAD
DME,PMI
DME,OMS
DME,GYD
DME,NRT
DME,MLA
DME,OSS
DME,GVA
DME,ZRH
DME,TLV
DME,CAI
DME,SAW
DME,KBP
DME,ODS
DME,DOH
DME,OSW
DME,REN
DME,AMM
DME,AAQ
DME,ABA
DME,ASB
DME,BAX
DME,BOJ
DME,BTK
DME,EVN
DME,GOA
DME,GOJ
DME,HTA
DME,IKT
DME,KEJ
DME,KGD
DME,KJA
DME,KUF
DME,LCA
DME,LIS
DME,NJC
DME,NOZ
DME,NSK
DME,NUX
DME,NYM
DME,OGZ
DME,PEE
DME,PFO
DME,PUY
DME,PWQ
DME,RGK
DME,ROV
DME,SGC
DME,SIP
DME,STW
DME,SVX
DME,TBS
DME,TJM
DME,TOF
DME,UFA
DME,UKK
DME,UUD
DME,VAR
DME,VLC
DME,VOG
DME,VRN
DME,YKS
DME,BRU
DME,IAH
DME,SIN
DME,FKB
DME,LEJ
DME,NCE
DME,TUN
DME,LGW
DME,MAN
DME,CGN
DME,GBB
DME,KVD
DME,LLK
DME,LWN
DME,RMI
DME,CMB
DME,ALA
DME,BQS
DME,DLM
DME,DNK
DME,DOK
DME,DWC
DME,DYR
DME,GDX
DME,GOI
DME,HKT
DME,HMA
DME,HRG
DME,IEV
DME,KGF
DME,KHV
DME,KOV
DME,MXP
DME,PED
DME,PKC
DME,PUJ
DME,SGN
DME,SSH
DME,SYX
DME,TFS
DME,TSE
DME,UUS
DME,VNO
DME,VRA
DME,VVO
DME,CXR
DME,HAN
DME,NOJ
DME,SLY
DME,TGD
DME,UKS
NBC,GYD
NBC,LED
NBC,SVX
NBC,IST
NBC,SVO
NBC,DYU
UUA,LED
